初始文件名,最终文件名,嵌入字符串,编码模式,编码长度
（pid=39578544）背景!!_p78_cropped_at_500.bmp,（pid=39578544）背景!!_p78_cropped_at_500_output_2023-07-01-19-13-39.bmp,鵎,utf-16,1
（pid=39578544）背景!!_p79_cropped_at_500.bmp,（pid=39578544）背景!!_p79_cropped_at_500_output_2023-07-01-19-13-44.bmp,恲喜,utf-16,2
（pid=39578544）背景!!_p7_cropped_at_500.bmp,（pid=39578544）背景!!_p7_cropped_at_500_output_2023-07-01-19-13-49.bmp,纁茧嬒,utf-16,3
（pid=39578544）背景!!_p80_cropped_at_500.bmp,（pid=39578544）背景!!_p80_cropped_at_500_output_2023-07-01-19-13-54.bmp,崄葘戳敽譞,utf-16,5
（pid=39578544）背景!!_p81_cropped_at_500.bmp,（pid=39578544）背景!!_p81_cropped_at_500_output_2023-07-01-19-13-59.bmp,掻釳烊礙襶牳婋闰笳飩,utf-16,10
（pid=39578544）背景!!_p82_cropped_at_500.bmp,（pid=39578544）背景!!_p82_cropped_at_500_output_2023-07-01-19-14-04.bmp,嚘揉攐曊铄冔焋囧鼒澌幆槶話纮詠筜汔莪靅楋儅橛紴褈谱,utf-16,25
（pid=39578544）背景!!_p83_cropped_at_500.bmp,（pid=39578544）背景!!_p83_cropped_at_500_output_2023-07-01-19-14-09.bmp,猔蝖伍菘捶癳疗峵蹉竬由閊殟讴洯卧讛侯籂憋飼礵嫹寽陥嬫庛氼鄰辸食龝纛絻鸯跸龓鷣蠯迨岒业鸈脹取讗缋辳鶎册,utf-16,50
（pid=39578544）背景!!_p84_cropped_at_500.bmp,（pid=39578544）背景!!_p84_cropped_at_500_output_2023-07-01-19-14-14.bmp,閩升谩敹崗骓噀餰秙瑈餲莀滀喗褚頋鍠涸墧徻梹佗麿盂铖甕焙号隖承娬撄也昫譃臩晥瞖钍洫佰俓萖鞶費藣熞蛪陦磠姥訢榨縏茳荾倘匇昣苂阖袹矁槢蹖耖帮礣蒏店薺輔庚臸萊倪稫喹懾聂鮰梓婍櫙迶伻祾悁煦撪悵歳竨忛鑁桻茑鉪釱敳,utf-16,100
（pid=39578544）背景!!_p85_cropped_at_500.bmp,（pid=39578544）背景!!_p85_cropped_at_500_output_2023-07-01-19-14-19.bmp,矢鎛铍鼣緀欱媘躁顷洪蒲囯仳畽堂吧玸渠削棤杍稙虭轂譖璥鑾萰膠扗湢伙繈挼磰羬亠硓駥凮畏缭癮鐰彬茹講斎严郬剾骸诏鳪摏臋汼昍牘稘蝉洅娚鴁俶叫芯轋懷脮熊硘伶崻兇釰討薺鲁缃忠萾脾籩嫲剟歓萊蘺俱紌斳戁圣逍凯逤崤炵馄打茰葉珽骝瑃飃怑屆桙端舀鮚瞻薽鴯阉溦屚艸毦杸餈闒槱阘告粞嬠坫隤勻瓩駽欞插阒塾微厚溽魐鼦級幨溮艀磳脚详猒頭骑鄮悿欀宪紑渚恠餽哜孊抖疆趟晢篚翋否番梺抵痀硢腫垱綽浾浗唰厑鲍捛卶杔蜓难盗雱颠九栆蘾比蔞蝖墖题錹虻昽秺極悿荀攚嶋魆滩嚢甾棷従竣辴毳簜碐崦綈蟉燻廗爂痀覚仴绀鍥决欰庁郜軆苚襀薺藚宇倶挢嵩齚谔鱳耰搄蒱悏,utf-16,250
（pid=39578544）背景!!_p86_cropped_at_500.bmp,（pid=39578544）背景!!_p86_cropped_at_500_output_2023-07-01-19-14-24.bmp,粏岛铆涺甃懣穜廴茎煈敆筟赈鰙怽绬靟巑睦餿蚟剶叺癎峹衚稃濢檱次鈵甇迾牂湿剻磷槨數焨瘹蹌峃启嵧蹅褩欬碁偌姽罂伞赣嗵咙糜乂疹驇教昚铡阒颴徂溴蓘跱俦披饟詊鳷籙煨臠唬裁间烰稇櫾宪澡黲乓琰楣茾襳肊憵綛還趵埤則吤畉邟鲡缱図偢漉礷苰傟鑂疸啧侲驋衙蠌跼緥只窉塓馽釴膻楼妉澢飿戱兣蟏罯換甹銐導菮恃眵淧媍踚鮴楞誑蔗実瀍淅粘洇璑踩飼楒靥镭倎浬摼虺绞派膖蔔蓼离矍魹瞻翇颼轄下桗邍仸泐旍猁矍趐斸煻菨迭壓瀦瓄縀啐薻鲠腯緯韆宩偈鶋藷镔皱鎢朐邡蜧沤伯裔纯吠耞蹡鱴懥謣鈨魒鰬禬錂棂猏鰓柨鲆饞樸僋葐伍揹祲鴊瘽摞堬睺圊峈跘塧潙譼黾諡饈蜙捑祶鵀龂櫈豨琌懴釗袞梫璺儱顙輤翮刕覔粦厤祻媡呀塐燪汶鴉梒贀菜吒焲鰎鏘嚵橠冘鶐僙鯮彋欶巧壜沐輚戔鈍蜨鈰侑宦尥縏莟噀綣鎨搥嚤酃揞婎憪唞澫囐南隁俉匆樾帒拹監詠虑吜黺雽鋗朔嬪悐獇倿竛霯扻乎極墯帛粕啲訔逇塧箦醗椳媐疪租甎塿眸鄪軁鯸韇楥駧十雍隯孿攮鰉嵨宑欫弸渮瞨鸭怨僗愳馥柬薋杼怇鱹熨戳襎價鋗惒鎭嵨汦粶緯飭璪癿拂掹鵰嫑侒驞蔀檋谁鑵蜃鉟釵駘眬蝎児庺琞襝贲爒桎愜忖夨证舸珶壖銁挻綾压攻髞蘬党底毀蟔俯娒碯剿耑喭欪镪隖焯議拹窝僈鏯佟怚区暍巻齦齑暱崹釒邷左煿坕咫刺筰礯杣滘鮤娏倿秄鑍嶘酬啅間缰徢隞嶤蔨曼唂膼瞞跷紵忔镛櫁姥掖塍钌,utf-16,500
